DENOM_CIA,cnpj,SETOR_ATIV,DT_REFER,total_assets,equity,net_revenue,net_income,ebit,current_ratio,debt_to_equity,gross_margin,net_margin,roe,roa,altman_zscore,altman_zone,default_flag
DOTZ S.A.,18174270000184,Comunicação e Informática,2024-12-31,194574000.0,-246421000.0,154016000.0,-16487000.0,-7044000.0,0.2398819620652433,-0.2818875014710597,0.8232261583212134,-0.10704731975898608,0.06690582377313622,-0.08473382877465643,-8.142243789219382,DISTRESS,1
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,18328118000109,Comércio (Atacado e Varejo),2024-12-31,3895459000.0,1661686000.0,3322608000.0,-42756000.0,62989000.0,1.672398329532587,0.28131969577886556,0.46929941780673495,-0.012868204735557129,-0.02573049300529703,-0.01097585676039717,1.8227412876973794,GREY,0
HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.,18483666000103,Comércio (Atacado e Varejo),2024-12-31,983320000.0,227799000.0,2191955000.0,27342000.0,140400000.0,0.9073991365192794,1.116896913507083,0.07256079618422824,0.012473796223006404,0.12002686578957765,0.027805800756620428,1.1158067162367504,GREY,0
PRINER SERVIÇOS INDUSTRIAIS S.A.,18593815000197,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,1229162000.0,354650000.0,1100583000.0,27817000.0,89846000.0,1.1151377270915097,1.3774369096292118,0.22397129521353681,0.02527478618150562,0.0784350768363175,0.022630865581591362,1.2899099963030678,GREY,0
HOLDING DO ARAGUAIA S.A.,18903785000178,Serviços Transporte e Logística,2024-12-31,5553337000.0,751956000.0,937565000.0,26726000.0,293087000.0,1.7006946835443038,4.155191261190814,0.33639054358897785,0.028505756934185895,0.03554197320055961,0.004812601864428541,0.7234438371293093,DISTRESS,0
CHINA THREE GORGES BRASIL ENERGIA S.A.,19014221000147,Energia Elétrica,2024-12-31,33522561000.0,18801386000.0,5818065000.0,2275981000.0,3840566000.0,0.5818245505415472,0.1625830670143148,0.6565818704328673,0.3911920887786575,0.12105389464372467,0.0678940072627506,1.8848585090759316,GREY,0
EMCCAMP RESIDENCIAL S.A.,19403252000190,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,828875000.0,483396000.0,904674000.0,77180000.0,97558000.0,2.7318757997440817,0.22651407955382336,0.2683397555362484,0.0853124993091434,0.15966205760908242,0.09311416076006636,5.023465163234235,SAFE,0
ALLIED TECNOLOGIA S.A.,20247322000147,Comércio (Atacado e Varejo),2024-12-31,3480239000.0,1588986000.0,5521381000.0,145532000.0,188839000.0,1.8274712247128806,0.31827089728921465,0.11907908546792913,0.02635789850401557,0.0915879686793968,0.04181666833800782,3.340021631589611,SAFE,0
OUROFINO S.A.,20258278000170,Comércio (Atacado e Varejo),2024-12-31,1384706000.0,756419000.0,1024792000.0,134329000.0,186832000.0,3.061210966335342,0.4750726779734512,0.5051610473149674,0.13107928242999556,0.17758543875814858,0.09700904018614782,5.014965559405197,SAFE,0
AZZAS 2154 S.A.,16590234000176,Têxtil e Vestuário,2024-12-31,15253545000.0,7721515000.0,8379753000.0,338549000.0,383639000.0,1.5123939260575072,0.343809602131188,0.5328392137572552,0.040400832816909996,0.043844893133018585,0.02219477505065216,2.2448647034719,GREY,0
